conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1976870491123233142,Sat Oct 11 04:40:28 +0000 2025,1,Aku kekal positif dgn kes FAM ni atas satu sebab je sbb players tu dh jadi rakyat Malaysia dulu sblm mohon tukar status dgn FIFA. Legitimacy &amp; endorsement seseorang tu jadi warganegara ialah kerajaan. FIFA tak ada hak utk deny nationality sesiapa.,1976870491123233142,,,in,,0,1,0,https://x.com/undefined/status/1976870491123233142,383599555,
1976858643242049806,Sat Oct 11 03:53:23 +0000 2025,0,#kualalumpur #bolatime Persatuan Bolasepak Malaysia (FAM) lebih bersikap profesional dan enggan memanaskan keadaan walaupun pengendali Harimau Malaya Peter Cklamovski memilih untuk meletakkan majikannya itu sebagai pihak yang bersalah atas isu dokumentasi.,1976858643242049806,,,in,,1,0,0,https://x.com/undefined/status/1976858643242049806,63070015,
1976857790909165617,Sat Oct 11 03:50:00 +0000 2025,0,Datuk Yusoff Mahadi langsung merespons sikap Peter Cklamovski yang menyalahkan Federasi Sepak Bola Malaysia (FAM) dalam kasus naturalisasi palsu https://t.co/txxBL6sMzx,1976857790909165617,,,in,,0,0,0,https://x.com/undefined/status/1976857790909165617,78239324,
1976857790833738050,Sat Oct 11 03:50:00 +0000 2025,0,Datuk Yusoff Mahadi langsung merespons sikap Peter Cklamovski yang menyalahkan Federasi Sepak Bola Malaysia (FAM) dalam kasus naturalisasi palsu https://t.co/oprbdhDyuQ,1976857790833738050,,,in,,0,0,0,https://x.com/undefined/status/1976857790833738050,626306017,
1976856089129107813,Sat Oct 11 03:43:14 +0000 2025,0,FAM Hampir Ulangi Skandal Naturalisasi Jordan Mintah Gagal Debut di Timnas Malaysia Gegara Belum Disetujui FIFA https://t.co/glwaJgjFaC,1976856089129107813,,,in,,0,0,0,https://x.com/undefined/status/1976856089129107813,1912027937676853249,
1975317624780431362,Sat Oct 11 03:41:28 +0000 2025,0,@khaliddyasinn @HasbullahHashi8 @wallpassjournal @FAM_Malaysia @OfficialJohor Konfem ni j benak,1976855643920404940,,khaliddyasinn,in,,0,0,0,https://x.com/undefined/status/1976855643920404940,880423659269115904,
1976854958818705707,Sat Oct 11 03:38:45 +0000 2025,1334,top 5 sultan johor @HRHJohorII yappings: 1. izinkan saya mengurus kan pasukan kebangsaan 2. kami mengenal pasti pemain warisan harimau malaya 3. who was in new york? 4. entiti luar sabotaj FAM 5. MALAYSIA IS NOT MY COUNTRY IM FROM JOHOR ,1976854958818705707,,,in,,16,32,950,https://x.com/undefined/status/1976854958818705707,1536262512987222016,
1976841639491682598,Sat Oct 11 02:45:49 +0000 2025,0,Hahaha Peta terbaru FAM. @FAM_Malaysia,1976841639491682598,,,in,,0,0,0,https://x.com/undefined/status/1976841639491682598,3601903586,
1976840678198870217,Sat Oct 11 02:42:00 +0000 2025,1,Peter Cklamovski tiba-tiba menegaskan posisinya dalam menyikapi kasus naturalisasi palsu yang menimpa Timnas Malaysia saat ini https://t.co/nK4aJ9LHMz,1976840678198870217,,,in,,0,0,0,https://x.com/undefined/status/1976840678198870217,78239324,
1976840678039863632,Sat Oct 11 02:42:00 +0000 2025,0,Peter Cklamovski tiba-tiba menegaskan posisinya dalam menyikapi kasus naturalisasi palsu yang menimpa Timnas Malaysia saat ini https://t.co/01zQlDcDpS,1976840678039863632,,,in,,0,0,0,https://x.com/undefined/status/1976840678039863632,626306017,
1976228517571420344,Sat Oct 11 02:16:29 +0000 2025,0,@Sayf_ismail Sekadar ni naratif dah bercanggah. FAM dok kata dornag player warisan. KDN pulak anggap dorang macam dah duduk Malaysia 5 tahun. Mana satu cerita yang betul taktahu.,1976834257541796148,,Sayf_ismail,in,,0,0,0,https://x.com/undefined/status/1976834257541796148,636435570,
1976489928746991780,Sat Oct 11 02:04:59 +0000 2025,1,@TemporaryWorld9 @mkini_bm @DrPuadZarkashi Duku team Malaysia sekarang yg ada kat FAM pun team ampu team penyamun team jilat team berfikir hanya kepentingan mereka mana dia orang nak tumpukan kepada keinginan rakyat tutup aje FAM itu atau pun pindah FAM ke negara salah seorang pemain asing,1976831361882390557,,TemporaryWorld9,in,,0,0,0,https://x.com/undefined/status/1976831361882390557,580546345,
1976623748972433487,Sat Oct 11 01:17:44 +0000 2025,2,@SNE_Sports @chedetofficial Adakah ada musibah pd bolasepak negara jika @FIFAcom tidak terima penjelasan@pembelaan @FAM_Malaysia ? Rakyat x berani luahkan berlebihan tp rakyat tau.. @hannahyeoh @saifnasution @KBSMalaysia @jpnhqofficial @anwaribrahim @fahmi_fadzil,1976819473769525586,,SNE_Sports,in,,0,0,0,https://x.com/undefined/status/1976819473769525586,1279675811650363398,
1976496576496533774,Fri Oct 10 23:15:07 +0000 2025,0,@asdmarch @FAM_Malaysia pun telur kena pegang brother.,1976788614693716334,,asdmarch,in,,0,0,0,https://x.com/undefined/status/1976788614693716334,2271514184,
